-2.737	-2.775	-2.79	-2.785	-2.763	-2.736	-2.709	-2.681	-2.65	-2.614	-2.579	-2.54	-2.512	-2.487	-2.457	-2.427	-2.399	-2.368	-2.349	-2.327	-2.297	-2.26	-2.243	-2.242	-2.234	-2.224	-2.212	-2.179	-2.117	-2.069	-2.032	-1.998	-1.966	-1.943	-1.929	-1.899	-1.865	-1.84	-1.824	-1.806	-1.805	-1.805	-1.789	-1.764	-1.754	-1.748	-1.741	-1.736	-1.744	-1.761	-1.792	-1.827	-1.866	-1.903	-1.924	-1.952	-1.981	-2.012	-2.038	-2.053	-2.051	-2.049	-2.07	-2.086	-2.087	-2.085	-2.093	-2.082	-2.077	-2.088	-2.113	-2.146	-2.18	-2.202	-2.201	-2.217	-2.252	-2.288	-2.326	-2.364	-2.396	-2.414	-2.417	-2.413	-2.425	-2.443	-2.46	-2.468	-2.468	-2.487	-2.505	-2.531	-2.569	-2.61	-2.642	-2.674	-2.692	-2.72	-2.739	-2.753	-2.772	-2.792	-2.814	-2.841	-2.863	-2.887	-2.912	-2.939	-2.963	-2.996	-3.032	-3.068	-3.098	-3.125	-3.15	-3.177	-3.189	-3.197	-3.193	-3.194	-3.203	-3.209	-3.216	-3.238	-3.248	-3.239	-3.229	-3.21	-3.196	-3.182	-3.161	-3.141	-3.118	-3.097	-3.078	-3.067	-3.053	-3.037	-3.019	-3.002	-2.974	-2.931	-2.885	-2.827
-2.13	-2.165	-2.172	-2.2	-2.211	-2.113	-2.002	-1.878	-1.755	-1.605	-1.429	-1.272	-1.25	-1.237	-1.251	-1.255	-1.261	-1.284	-1.307	-1.347	-1.373	-1.339	-1.35	-1.391	-1.391	-1.396	-1.407	-1.359	-1.23	-1.14	-1.045	-0.931	-0.783	-0.641	-0.535	-0.373	-0.115	0.09	0.257	0.429	0.561	0.63	0.76	0.872	0.922	0.971	1.017	1.087	1.114	1.127	1.117	1.112	1.083	1.073	1.08	1.062	1.008	0.947	0.833	0.729	0.635	0.491	0.32	0.136	-0.068	-0.236	-0.478	-0.652	-0.858	-1.063	-1.264	-1.457	-1.636	-1.754	-1.84	-1.916	-2.01	-2.074	-2.115	-2.168	-2.199	-2.209	-2.209	-2.183	-2.208	-2.256	-2.299	-2.325	-2.345	-2.364	-2.403	-2.437	-2.457	-2.513	-2.535	-2.578	-2.612	-2.678	-2.74	-2.769	-2.812	-2.849	-2.867	-2.894	-2.939	-2.991	-3.035	-3.077	-3.099	-3.131	-3.167	-3.193	-3.219	-3.237	-3.256	-3.275	-3.282	-3.269	-3.238	-3.209	-3.164	-3.121	-3.066	-3.035	-2.996	-2.952	-2.909	-2.863	-2.847	-2.834	-2.785	-2.729	-2.674	-2.596	-2.521	-2.462	-2.404	-2.359	-2.341	-2.321	-2.31	-2.29	-2.256	-2.195
-1.056	-1.06	-1.11	-1.208	-1.307	-1.267	-1.332	-1.423	-1.503	-1.507	-1.432	-1.37	-1.321	-1.289	-1.243	-1.176	-1.085	-1.013	-0.947	-0.828	-0.759	-0.687	-0.619	-0.561	-0.489	-0.418	-0.399	-0.356	-0.278	-0.243	-0.186	-0.071	0.178	0.454	0.73	1.144	1.609	2.037	2.258	2.439	2.648	2.677	2.846	3.107	3.596	4.094	4.531	4.719	4.773	4.713	4.637	4.587	4.49	4.336	4.091	3.614	3.044	2.645	2.43	2.309	2.439	2.515	2.763	2.718	2.385	1.952	1.514	1.104	0.666	0.282	-0.073	-0.42	-0.723	-0.905	-1.077	-1.209	-1.326	-1.393	-1.448	-1.537	-1.577	-1.637	-1.724	-1.775	-1.896	-2.043	-2.134	-2.199	-2.272	-2.373	-2.476	-2.552	-2.614	-2.669	-2.727	-2.785	-2.808	-2.852	-2.971	-3.092	-3.179	-3.218	-3.254	-3.275	-3.303	-3.339	-3.36	-3.357	-3.34	-3.338	-3.314	-3.238	-3.141	-3.078	-3.053	-3.025	-3.002	-2.965	-2.916	-2.864	-2.82	-2.789	-2.749	-2.719	-2.688	-2.625	-2.58	-2.526	-2.474	-2.414	-2.338	-2.249	-2.162	-2.104	-2.036	-1.954	-1.861	-1.765	-1.661	-1.441	-1.403	-1.385	-1.278	-1.13
-1.48	-1.546	-1.664	-1.838	-1.976	-2.063	-2.096	-2.152	-2.202	-2.218	-2.059	-1.894	-1.736	-1.652	-1.599	-1.45	-1.313	-1.18	-1.092	-1.03	-1.022	-1.052	-1.101	-1.11	-1.078	-0.995	-0.876	-0.714	-0.539	-0.306	-0.024	0.449	0.819	1.147	1.457	2.081	2.556	3.123	3.185	2.857	2.763	2.498	2.865	3.769	5.251	6.285	6.757	6.58	5.969	4.779	4.059	3.719	3.454	2.812	2.131	1.366	0.985	1.264	1.735	2.277	2.93	3.368	3.529	3.475	2.878	3.027	2.978	2.552	1.959	1.425	0.931	0.546	0.3	0.212	0.2	0.158	0.059	0.139	0.127	0.01	-0.351	-0.703	-1.033	-1.373	-1.71	-1.944	-2.125	-2.257	-2.26	-2.225	-2.217	-2.257	-2.304	-2.271	-2.22	-2.213	-2.28	-2.398	-2.501	-2.637	-2.796	-2.911	-3.021	-3.104	-3.183	-3.231	-3.266	-3.299	-3.375	-3.755	-3.485	-3.08	-2.905	-2.764	-2.698	-2.612	-2.534	-2.482	-2.421	-2.355	-2.311	-2.305	-2.321	-2.308	-2.23	-2.195	-2.195	-2.187	-2.135	-2.07	-1.957	-1.826	-1.689	-1.538	-1.339	-1.176	-0.993	-0.92	-1.054	-1.269	-1.383	-1.429	-1.446	-1.455
-1.381	-1.463	-1.575	-1.607	-1.572	-1.518	-1.63	-1.77	-1.761	-1.48	-1.18	-0.954	-0.828	-0.778	-0.764	-0.74	-0.796	-0.903	-1.046	-1.203	-1.325	-1.346	-1.362	-1.348	-1.317	-1.256	-1.025	-0.702	-0.914	-0.726	-0.19	0.3	0.428	0.81	0.827	1.393	2.698	4.6	4.644	3.275	3.262	4.399	5.844	6.39	5.666	4.643	3.144	1.919	1.208	0.774	0.299	-0.136	-0.473	-0.792	-1.163	-1.392	-1.103	-0.321	0.658	1.778	3.104	4.506	5.61	5.946	5.662	4.831	3.771	2.722	1.913	1.317	0.977	0.817	0.825	1.071	1.405	1.352	0.963	0.443	-0.246	-0.444	-0.323	-0.372	-0.368	-0.484	-0.654	-0.839	-1.013	-1.068	-1.033	-0.903	-0.678	-0.436	-0.273	-0.141	-0.035	0.015	-0.036	-0.125	-0.287	-0.521	-0.741	-1.098	-1.457	-1.74	-1.962	-2.107	-2.218	-2.275	-2.284	-2.378	-2.36	-2.055	-1.912	-1.781	-1.704	-1.798	-2.007	-2.071	-2.105	-2.109	-2.143	-2.1	-2.032	-1.928	-1.756	-1.627	-1.588	-1.588	-1.599	-1.615	-1.579	-1.55	-1.562	-1.551	-1.387	-1.21	-1.034	-0.766	-0.709	-0.944	-1.08	-1.181	-1.277	-1.382
-0.021	-0.141	-0.178	-0.146	-0.151	-0.17	-0.196	-0.194	-0.136	-0.019	0.123	0.291	0.292	0.163	-0.074	-0.298	-0.562	-0.81	-1.09	-1.299	-1.393	-1.378	-1.204	-0.768	-0.544	-0.729	-0.689	-0.595	-0.045	0.054	0.28	0.816	0.999	1.176	2.279	2.711	2.393	2.298	1.803	1.944	3.555	4.785	5.431	5.877	5.665	5.591	5.769	5.9	5.449	3.822	1.732	0.163	-0.478	-0.705	-0.843	-0.948	-0.782	-0.467	-0.055	0.569	1.553	3.488	6.212	7.796	7.736	6.253	4.519	3.107	2.153	1.529	1.247	1.261	1.396	1.583	1.813	2.009	2.111	1.962	1.494	1.129	0.961	0.898	0.79	0.819	0.911	0.892	0.785	0.721	0.741	0.886	1.05	1.213	1.371	1.419	1.219	0.913	1.011	1.081	1.19	1.205	1.079	0.768	0.374	0.022	-0.203	-0.241	0.091	0.606	0.717	0.835	0.985	1.617	2.464	2.766	1.597	1.245	1.13	-0.292	-1.152	-1.452	-1.337	-1.077	-0.779	-0.619	-0.527	-0.55	-0.632	-0.687	-0.797	-1.027	-1.138	-1.214	-1.225	-1.225	-1.15	-0.915	-0.494	0.282	0.374	0.038	-0.073	-0.038	0.003	-0.051
0.863	0.773	0.766	0.868	0.993	1.076	1.13	1.095	1.095	1.129	1.209	1.234	1.256	1.171	1.052	0.99	0.803	0.686	0.494	0.421	0.566	1.059	2.63	2.819	2.401	1.406	0.581	0.825	1.01	1.754	0.82	0.628	1.447	1.517	2.77	2.168	2.639	2.933	2.743	2.681	2.724	3.88	4.59	4.872	5.042	5.325	6.04	7.758	9.821	9.385	6.472	3.006	0.951	-0.251	-1.055	-1.411	-1.435	-1.451	-0.953	0.898	3.388	6.54	9.053	9.975	8.866	6.5	4.9	4.015	3.413	2.921	2.638	2.611	2.513	2.292	2.294	2.417	2.659	2.893	3.083	3.203	3.298	3.419	3.612	3.719	3.814	3.626	3.259	2.928	2.782	2.773	2.742	2.626	2.594	2.266	0.695	1.011	1.679	2.373	2.945	3.265	3.31	2.715	2.293	2.292	3.083	3.35	3.745	4.67	4.748	4.587	4.603	4.756	4.79	4.715	4.316	3.484	3.175	2.557	2.509	2.174	1.887	2.229	2.692	1.695	0.885	0.628	0.503	0.556	0.905	0.761	0.88	0.734	0.582	0.477	0.272	0.073	-0.037	0.09	0.335	0.669	0.908	0.94	0.897	0.902
2.956	3.236	3.406	3.717	4.036	4.286	4.48	4.815	5.498	5.623	5.639	5.066	4.672	4.295	3.946	3.526	3.255	3.163	3.321	3.375	3.478	3.401	3.35	2.651	2.441	3.182	3.412	3.807	4.466	4.592	2.41	0.201	0.475	2.133	2.469	0.856	2.17	3.744	4.114	4.296	3.89	3.066	2.163	2.583	3.725	4.033	4.275	5.938	7.885	9.922	10.632	8.171	4.429	1.487	-0.091	-1.008	-1.828	-2.056	-0.708	2.101	4.866	7.131	8.04	8.877	8.089	6.916	6.086	5.608	5.334	4.855	4.498	4.419	4.404	4.463	4.575	4.78	5.25	5.784	6.299	6.711	7.043	7.453	7.716	7.572	7.036	6.385	5.82	5.42	4.976	4.489	4.114	3.782	3.732	3.798	2.86	1.916	1.887	2.275	4.052	5.849	5.752	4.957	5.195	5.675	5.443	5.617	5.899	6.019	5.97	5.999	6.435	6.547	6.364	5.832	5.263	4.878	5.284	5.74	5.646	5.709	5.499	5.223	5.426	4.699	4.638	5.21	5.378	5.778	6.523	6.876	7.104	6.835	6.062	5.408	5.152	4.796	3.698	3.106	3.001	3.263	3.787	4.018	3.62	3.279
7.164	6.8	6.371	6.5	6.819	7.618	8.285	8.646	8.669	8.434	8.498	8.712	8.198	7.768	7.803	8.238	8.442	8.363	9.393	8.831	8.435	7.673	6.205	5.159	5.642	6.249	4.92	4.166	4.286	4.362	3.821	1.562	1.633	2.951	2.881	2.262	1.689	1.199	3.354	2.2	2.092	3.786	3.343	2.879	2.454	2.504	3.35	4.105	5.235	7.286	10.211	11.605	6.984	2.854	0.343	-0.962	-1.944	-0.956	3.444	5.292	6.108	7.313	8.026	7.619	7.106	6.855	6.619	6.442	6.293	6.197	6.282	6.318	6.295	6.369	6.466	6.778	7.339	7.886	7.529	6.565	6.225	6.86	7.456	7.884	8.021	7.606	7.219	6.97	6.182	5.862	5.733	5.916	6.102	5.908	5.569	5.441	5.694	5.279	5.13	6.161	6.217	4.877	6.763	6.68	6.477	6.653	7.013	6.488	5.165	3.694	3.497	4.43	5.659	5.785	5.519	5.619	5.955	6.118	5.883	5.653	6.017	6.351	4.969	3.91	5.653	6.926	6.95	6.942	8.236	9.919	10.626	10.421	10.871	11.267	11.508	11.529	10.903	9.992	9.414	9.21	9.931	9.507	7.88	7.475
8.57	8.611	8.83	8.102	7.825	9.176	9.876	10.266	10.426	10.493	10.355	10.85	11.496	11.998	12.143	11.065	9.848	9.982	10.561	10.214	10.413	9.93	9.275	7.933	7.291	6.616	5.595	5.052	5.246	5.255	4.879	4.546	4.305	3.934	2.98	2.897	3.549	3.987	3.392	1.67	1.334	2.505	4.096	5.087	4.247	2.169	2.043	2.948	3.974	5.681	8.275	8.64	4.253	0.468	-1.235	0.947	3.784	5.356	8.108	8.425	7.77	7.54	7.325	7.228	6.489	6.798	7.179	6.749	6.377	6.347	6.511	6.656	6.67	6.622	6.747	7.192	7.619	5.967	4.825	5.341	6.714	7.209	6.685	6.242	6.323	6.203	5.818	5.886	5.995	6.72	7.068	7.018	6.921	6.954	7.207	6.873	6.31	6.339	6.648	6.885	6.675	6.077	6.616	6.948	7.287	7.257	7.523	6.899	6.288	5.868	5.093	5.391	5.959	5.708	5.596	5.616	5.653	5.602	6.045	6.47	7.141	7.807	6.275	4.884	6.677	7.893	8.321	8.149	9.229	10.543	11.067	12.57	13.558	12.657	12.186	11.873	11.442	10.676	10.216	10.428	10.739	10.811	10.264	9.443
9.246	8.595	8.417	8.073	8.321	9.271	10.448	10.956	11.998	12.867	12.578	11.584	10.78	10.663	10.591	11.582	11.459	11.003	10.094	8.297	7.357	9.11	11.015	10.602	9.638	9.053	7.687	6.722	6.293	6.007	5.785	5.473	5.278	5.193	5.21	4.58	3.752	3.783	4.231	3.221	2.608	3.703	4.028	4.778	4.739	3.198	2.689	3.223	4.243	5.269	6.222	7.08	2.337	-4.323	-3.437	5.463	8.389	7.656	7.046	6.476	6.223	6.095	6.447	6.381	4.577	4.96	6.561	6.237	5.921	5.843	5.92	6.062	6.305	6.556	6.672	6.671	6.336	5.194	5.923	6.541	7.112	7.026	6.925	7.001	6.93	6.682	6.04	6.417	6.766	6.811	6.565	6.232	5.92	6.177	6.659	5.722	6.139	6.885	7.071	6.956	6.649	6.702	6.939	7.049	7.287	7.416	7.6	6.931	6.361	6.591	6.442	6.462	6.455	6.468	6.614	6.442	6.14	6.182	7.023	7.567	7.994	9.036	9.628	9.202	9.239	9.325	9.626	8.838	9.609	10.292	10.148	11.048	12.571	12.497	10.808	9.94	10.624	10.734	11.198	11.372	10.963	10.93	11.176	11.089
9.026	8.768	8.478	8.278	8.475	9.836	11.356	11.526	11.937	12.361	10.369	11.698	10.364	9.994	8.733	5.438	7.473	11.043	11.479	11.218	10.849	10.081	11.071	11.717	10.959	10.81	9.674	9.184	7.94	7.067	6.326	5.716	5.801	6.658	5.103	3.156	2.815	2.662	3.012	3.509	4.641	6.362	6.364	5.86	3.224	2.288	2.867	3.764	5.032	5.932	6.145	6.323	5.067	1.83	1.399	6.296	6.136	5.669	5.05	4.691	4.637	4.694	5.144	5.519	5.866	5.99	5.879	5.514	5.237	5.011	4.933	5.01	5.479	6.189	4.497	3.106	4.942	5.443	6.685	7.234	6.683	6.431	6.898	7.361	7.57	7.241	6.647	6.268	6.349	6.376	6.702	6.805	6.706	6.815	6.868	6.018	6.949	7.317	7.494	7.423	6.871	6.498	6.806	6.704	6.136	6.257	6.461	6.516	6.159	5.632	5.415	5.66	5.85	5.862	6.285	6.968	7.035	7.299	7.666	8.047	8.311	8.668	9.115	9.768	10.736	11.441	10.603	8.486	8.626	9.306	10.112	10.283	10.007	10.092	9.961	10.106	10.877	11.542	11.275	10.381	9.853	10.389	9.977	9.687
8.431	8.235	8.084	7.968	7.997	8.676	9.437	10.073	10.705	11.078	10.312	10.814	11.214	11.775	11.667	11.098	10.746	11.372	11.811	10.821	11.284	10.871	11.483	12.102	10.98	9.794	9.1	9.216	8.299	7.331	6.58	6.371	6.262	6.976	5.487	2.911	2.099	1.92	2.373	3.169	4.704	6.471	7.099	7.785	6.572	5.925	5.792	4.909	5.469	6.287	6.711	6.466	6.115	5.604	4.896	4.811	4.725	4.551	4.472	4.562	4.736	4.987	5.28	5.553	5.718	5.597	5.399	5.217	5.037	4.823	4.457	4.385	4.509	5.025	4.144	4.856	6.164	6.115	6.7	6.685	6.656	6.836	6.669	7.089	6.882	6.44	6.673	6.756	6.689	6.604	6.69	6.814	6.225	6.395	6.494	5.783	6.892	7.124	6.819	6.388	5.602	5.184	5.094	5.005	4.852	4.843	4.775	5.025	5.337	4.677	4.575	5.034	5.432	5.659	6.196	7.426	7.665	6.999	6.228	7.206	7.57	7.499	7.405	7.856	8.867	9.662	9.633	8.983	10.849	11.503	10.787	10.284	9.821	9.44	8.546	9.116	9.091	10.179	10.026	9.794	9.512	9.4	9.209	8.933
8.097	8.119	7.932	7.769	7.784	8.107	8.634	9.319	9.673	9.596	9.646	9.615	9.58	9.757	9.849	10.027	10.199	10.582	11.719	11.176	10.297	10.16	10.712	11.267	10.751	9.612	8.276	7.554	6.935	5.932	5.728	5.986	5.747	5.874	6.151	6.116	4.556	3.067	2.024	1.929	3.405	5.785	6.338	6.902	7.72	7.498	7.451	7.064	5.737	5.864	6.042	6.166	5.98	5.932	5.606	5.348	5.252	5.231	5.509	5.865	6.288	6.539	6.631	6.745	6.627	6.294	5.844	5.4	5.036	4.555	3.743	4.198	4.036	4.203	4.531	5.136	5.451	5.39	5.929	5.805	6.137	6.361	6.096	5.911	5.538	5.205	5.895	6.117	6.135	6.119	6.012	5.814	5.851	6.005	5.735	4.629	5.418	5.624	4.828	4.294	3.541	2.868	2.775	2.858	3.065	3.58	3.834	4.297	4.97	4.972	5.135	5.178	5.362	6.077	6.305	6.222	5.039	4.941	5.243	4.535	6.133	6.317	6.15	5.857	5.472	6.622	7.579	7.407	8.891	9.104	8.625	8.362	8.147	7.675	8.594	8.245	8.859	9.257	8.805	8.659	8.522	8.497	8.492	8.335
7.661	7.793	7.739	7.563	7.631	7.936	8.382	8.767	8.784	8.834	8.892	8.723	8.464	8.327	8.241	8.29	8.508	8.741	8.933	9.488	9.463	9.282	10.591	8.683	7.34	8.092	7.376	5.825	4.798	4.069	3.909	4.313	4.516	4.532	4.158	4.531	4.895	5.362	5.792	2.423	4.492	6.235	5.568	4.996	5.395	6.037	6.767	8.31	8.871	6.792	5.217	5.354	5.535	6.153	6.598	6.76	6.786	6.955	7.31	7.633	7.843	7.885	7.864	7.842	7.647	7.102	6.389	5.668	4.82	4.443	3.894	4.072	4.081	4.217	4.982	5.451	5.472	5.872	5.945	5.564	5.392	4.906	4.627	4.525	4.307	4.159	4.411	4.487	4.4	3.775	3.719	4.389	4.166	3.671	3.201	1.993	3.321	3.652	2.698	1.946	1.561	1.398	1.499	1.773	2.001	2.72	3.444	3.118	4.496	4.521	3.125	3.213	5.555	6.948	6.336	5.899	4.722	5.591	6.317	6.464	6.71	7.136	7.789	7.804	6.83	6.332	7.83	8.098	8.257	7.596	6.64	6.662	6.779	6.989	7.541	7.896	8.039	8.008	7.847	7.762	7.803	7.823	7.848	7.779
7.012	7.222	7.351	7.482	7.666	7.812	7.927	8.022	8.02	8.117	8.238	8.215	8.003	7.746	7.433	7.151	7.071	7.055	7.06	7.106	6.864	6.864	6.831	8.035	6.787	4.518	6.053	6.101	5.175	4.286	2.514	1.67	3.347	3.429	3.001	3.083	3.135	3.447	4.364	4.228	4.105	4.523	3.667	3.342	4.248	4.411	4.927	5.733	5.428	5.893	4.809	5.132	5.297	6.186	7.466	8.507	8.962	9.165	9.293	9.263	9.186	9.052	9.029	8.91	8.644	8.095	7.294	6.276	5.24	4.658	4.2	4.103	4.241	4.627	4.725	4.464	4.513	5.003	4.97	4.959	4.691	4.33	4.091	3.758	3.777	3.266	2.892	2.612	2.527	2.186	2.573	2.959	2.709	2.363	1.692	1.335	1.7	2.114	1.088	0.225	-0.31	-0.343	0.553	1.775	1.687	0.121	-0.485	-0.969	1.487	4.672	4.303	2.473	3.423	5.697	7.602	6.938	5.909	6.533	6.938	6.484	5.629	5.768	7.283	7.814	6.274	4.871	6.965	7.148	7.315	6.864	5.196	5.182	5.281	5.356	5.944	6.892	6.985	6.993	6.938	7.051	7.263	7.367	7.401	7.291
6.501	6.743	6.837	7.003	7.062	7.077	7.117	7.072	7.073	7.298	7.478	7.578	7.486	7.181	6.787	6.461	6.041	5.771	5.7	5.634	5.244	5.256	7.678	6.991	8.193	7.505	5.858	7.64	7.065	6.515	4.764	3.13	2.899	3.046	2.754	2.142	1.29	1.41	2.636	2.977	2.96	2.739	2.308	2.423	3.379	3.125	3.668	3.456	3.172	4.583	5.923	5.266	5.373	6.489	8.187	9.847	10.521	10.59	10.461	10.359	10.29	10.079	9.9	9.564	9.398	8.877	8.067	6.941	5.625	4.713	3.88	3.861	3.863	3.976	3.597	3.382	2.736	2.725	3.656	3.347	2.873	1.595	2.1	2.595	2.93	2.621	2.043	2.035	2.404	2.416	2.548	2.575	2.562	2.179	0.813	0.345	1.342	1.673	0.125	0.018	-0.113	-0.545	-0.566	0.664	1.143	1.151	-1.375	-3.633	0.13	5.358	2.647	1.588	3.748	5.656	5.81	3.844	5.113	6.947	7.953	6.468	4.703	5.733	6.325	6.16	6.42	6.845	6.161	4.504	5.498	5.49	4.203	3.726	3.254	3.31	4.207	5.342	5.95	6.191	6.37	6.437	6.64	6.773	6.899	6.847
